route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
113G,MT,115543704,Wheat Ridge Ward Station,1, 113 30,1316747
113G,MT,115543719,Wheat Ridge Ward Station,1, 113 31,1316747
113G,MT,115543728,Wheat Ridge Ward Station,1, 113 32,1316747
113G,MT,115543729,Wheat Ridge Ward Station,1, 113 31,1316747
113G,MT,115543730,Wheat Ridge Ward Station,1, 113 30,1316747
113G,MT,115543731,Wheat Ridge Ward Station,1, 113 32,1316747
113G,MT,115543732,Wheat Ridge Ward Station,1, 113 31,1316747
113G,MT,115543733,Wheat Ridge Ward Station,1, 113 30,1316747
113G,MT,115543734,Wheat Ridge Ward Station,1, 113 32,1316747
113G,SA,115543735,Union Station,0, 113 32,1316730
113G,SA,115543736,Union Station,0, 113 31,1316730
113G,SA,115543737,Union Station,0, 113 32,1316730
113G,SA,115543738,Union Station,0, 113 30,1316730
113G,SA,115543739,Union Station,0, 113 31,1316730
113G,SA,115543740,Union Station,0, 113 32,1316730
113G,SA,115543741,Union Station,0, 113 30,1316730
113G,SA,115543742,Union Station,0, 113 31,1316730
113G,SA,115543743,Union Station,0, 113 32,1316730
113G,SA,115543744,Union Station,0, 113 30,1316730
113G,SA,115543745,Union Station,0, 113 31,1316730
113G,SA,115543752,Union Station,0, 113 31,1316730
113G,SA,115543766,Union Station,0, 113 30,1316730
113G,SA,115543768,Union Station,0, 113 32,1316730
113G,SA,115543770,Union Station,0, 113 30,1316730
113G,SA,115543771,Union Station,0, 113 30,1316730
113G,SA,115543772,Union Station,0, 113 31,1316730
113G,SA,115543773,Union Station,0, 113 32,1316730
113G,SA,115543774,Union Station,0, 113 30,1316730
113G,SA,115543775,Union Station,0, 113 31,1316730
113G,SA,115543776,Union Station,0, 113 32,1316730
113G,SA,115543777,Union Station,0, 113 30,1316730
113G,SA,115543778,Union Station,0, 113 31,1316730
113G,SA,115543779,Union Station,0, 113 32,1316730
113G,SA,115543780,Union Station,0, 113 30,1316730
113G,SA,115543781,Union Station,0, 113 31,1316730
113G,SA,115543782,Union Station,0, 113 30,1316730
113G,SA,115543783,Union Station,0, 113 31,1316730
113G,SA,115543784,Union Station,0, 113 32,1316730
113G,SA,115543785,Union Station,0, 113 30,1316730
113G,SA,115543786,Union Station,0, 113 31,1316730
113G,SA,115543787,Union Station,0, 113 32,1316730
113G,SA,115543788,Union Station,0, 113 30,1316730
113G,SA,115543789,Union Station,0, 113 31,1316730
113G,SA,115543790,Union Station,0, 113 32,1316730
113G,SA,115543791,Union Station,0, 113 30,1316730
113G,SA,115543792,Union Station,0, 113 31,1316730
113G,SA,115543793,Union Station,0, 113 32,1316730
113G,SA,115543794,Union Station,0, 113 32,1316730
113G,SA,115543795,Union Station,0, 113 31,1316730
113G,SA,115543796,Union Station,0, 113 30,1316730
113G,SA,115543813,Wheat Ridge Ward Station,1, 113 30,1316747
113G,SA,115543814,Wheat Ridge Ward Station,1, 113 31,1316747
113G,SA,115543815,Wheat Ridge Ward Station,1, 113 32,1316747
113G,SA,115543816,Wheat Ridge Ward Station,1, 113 30,1316747
113G,SA,115543817,Wheat Ridge Ward Station,1, 113 31,1316747
113G,SA,115543818,Wheat Ridge Ward Station,1, 113 32,1316747
113G,SA,115543819,Wheat Ridge Ward Station,1, 113 30,1316747
113G,SA,115543820,Wheat Ridge Ward Station,1, 113 32,1316747
113G,SA,115543821,Wheat Ridge Ward Station,1, 113 30,1316747
113G,SA,115543826,Wheat Ridge Ward Station,1, 113 30,1316747
113G,SA,115543828,Wheat Ridge Ward Station,1, 113 30,1316747
113G,SA,115543829,Wheat Ridge Ward Station,1, 113 31,1316747
113G,SA,115543830,Wheat Ridge Ward Station,1, 113 32,1316747
113G,SA,115543831,Wheat Ridge Ward Station,1, 113 30,1316747
